"name"	"SN2012fu"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003200/CBET003280.txt'>CBET 3280</a>"	"alias"	"2"
"aliases"	"SN2012fu,PSN J04371913-6908254"
"claimedtype"	"Ia"
"discoverday"	"26"
"discoverer"	"CHASE"
"discovermonth"	"8"
"discoveryear"	"2012"
"galdec"	"-690834"
"galra"	"043719"
"host"	"ESO 55-G28"
"hvel"	"18142"
"maxday"	"26"
"maxmonth"	"8"
"maxyear"	"2012"
"redshift"	"0.059"
"sndec"	"-69:08:25.4"
"snra"	"04:37:19.13"
"photometry"	"timeunit"	"MJD"	"time"	"56165.5"	"abmag"	"17.5"	"source"	"2,1"
