"name"	"SN2003cs"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"discoverday"	"3"
"discoverer"	"Wood-Vasey et al."
"discovermonth"	"2"
"discoveryear"	"2003"
"galdec"	"-045432"
"galra"	"112037"
"host"	"A112037-0454"
"maxday"	"9"
"maxmonth"	"2"
"maxyear"	"2003"
"sndec"	"-045432.7"
"snra"	"112037.52"
"photometry"	"timeunit"	"MJD"	"time"	"52673.49"	"band"	"C"	"abmag"	"17.9"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52679.44"	"band"	"C"	"abmag"	"17.1"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52725.19"	"band"	"C"	"abmag"	"19.4"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52729.22"	"band"	"C"	"abmag"	"19.6"	"source"	"1,2"
