"name"	"PTF12ejf"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=4133'>ATEL 4133</a>"	"alias"	"2"
"aliases"	"PTF12ejf,CSS120518:134233+325241"
"claimedtype"	"Ia"
"discoverday"	"12"
"discoverer"	"PTF"
"discovermonth"	"6"
"discoveryear"	"2012"
"maxday"	"12"
"maxmonth"	"6"
"maxyear"	"2012"
"redshift"	"0.17"
"sndec"	"+32:52:41.8"
"snra"	"13:42:33.13"
"photometry"	"timeunit"	"MJD"	"time"	"56090.5"	"abmag"	"19.6"	"source"	"2,1"
