"name"	"SN2013ei"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003600/CBET003602.txt'>CBET 3602</a>"	"alias"	"2"
"source"	"name"	"Thomas Langhans"	"alias"	"3"
"source"	"name"	"Enrico Prosperi "	"alias"	"4"
"aliases"	"SN2013ei,ASASSN-13av"
"claimedtype"	"Ia"
"discoverday"	"6"
"discoverer"	"All Sky Automated Survey for SuperNovae (ASAS-SN)"
"discovermonth"	"7"
"discoveryear"	"2013"
"galdec"	"+121104"
"galra"	"212632"
"host"	"NGC 7068"
"hvel"	"5183"
"maxday"	"6"
"maxmonth"	"7"
"maxyear"	"2013"
"redshift"	"0.0173"
"sndec"	"+12:10:49.4"
"snra"	"21:26:31.93"
"photometry"	"timeunit"	"MJD"	"time"	"56479.5"	"abmag"	"15.6"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"56535.252"	"band"	"UR"	"abmag"	"18.0"	"source"	"3,1"
"photometry"	"timeunit"	"MJD"	"time"	"56539.943"	"band"	"CR"	"abmag"	"18.7"	"source"	"4,1"
"photometry"	"timeunit"	"MJD"	"time"	"56553.22"	"band"	"UV"	"abmag"	"18.6"	"source"	"3,1"
