"name"	"SN2009df"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/001700/CBET001766.txt'>CBET 1766</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009df,CSS090301:160553+172446"
"claimedtype"	"Ia"
"discoverday"	"28"
"discoverer"	"CRTS"
"discovermonth"	"2"
"discoveryear"	"2009"
"galdec"	"+172445"
"galra"	"160552"
"host"	"A160552+1724"
"hvel"	"33800"
"maxday"	"28"
"maxmonth"	"2"
"maxyear"	"2009"
"redshift"	"0.12"
"sndec"	"+17:24:45.5"
"snra"	"16:05:52.67"
"photometry"	"timeunit"	"MJD"	"time"	"54890.5"	"abmag"	"18.6"	"source"	"2,1"
