"name"	"PSN J20321942-1812176"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J20321942-1812176.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J20321942-1812176,SNhunt292"
"claimedtype"	"unk"
"discoverday"	"7"
"discoverer"	"CRTS"
"discovermonth"	"7"
"discoveryear"	"2015"
"host"	"ESO 597-G7"
"maxday"	"7"
"maxmonth"	"7"
"maxyear"	"2015"
"sndec"	"-18:12:17.6"
"snra"	"20:32:19.42"
"photometry"	"timeunit"	"MJD"	"time"	"57210.5"	"abmag"	"19.3"	"source"	"2,1"
