"name"	"SN2007oi"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia ?"
"discoverday"	"13"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2007"
"galdec"	"+010428"
"galra"	"002117"
"host"	"A002117+0104"
"hvel"	"76900"
"maxday"	"21"
"maxmonth"	"10"
"maxyear"	"2007"
"redshift"	"0.3"
"sndec"	"+010428.3"
"snra"	"002117.87"
"photometry"	"timeunit"	"MJD"	"time"	"54386.0"	"band"	"g"	"abmag"	"23.1"	"source"	"1"
