"name"	"SN2009aq"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/001700/CBET001713.txt'>CBET 1713</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009aq,CSS090213:030920+160505"
"claimedtype"	"Ia"
"discoverday"	"25"
"discoverer"	"CRTS"
"discovermonth"	"2"
"discoveryear"	"2009"
"galdec"	"+160505"
"galra"	"030919"
"host"	"A030919+1605"
"hvel"	"9300"
"maxday"	"25"
"maxmonth"	"2"
"maxyear"	"2009"
"redshift"	"0.031"
"sndec"	"+16:05:05.3"
"snra"	"03:09:19.79"
"photometry"	"timeunit"	"MJD"	"time"	"54887.5"	"abmag"	"16.7"	"source"	"2,1"
