"name"	"SN2013cs"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003500/CBET003533.txt'>CBET 3533</a>"	"alias"	"2"
"aliases"	"SN2013cs,PSN J13151481-1757556"
"claimedtype"	"Ia"
"discoverday"	"19"
"discoverer"	"CRTS"
"discovermonth"	"5"
"discoveryear"	"2013"
"galdec"	"-175800"
"galra"	"131513"
"host"	"ESO 576-G17"
"hvel"	"2998"
"maxday"	"19"
"maxmonth"	"5"
"maxyear"	"2013"
"redshift"	"0.00924"
"sndec"	"-17:57:55.6"
"snra"	"13:15:14.81"
"photometry"	"timeunit"	"MJD"	"time"	"56431.5"	"abmag"	"14.1"	"source"	"2,1"
