"name"	"SN2012fk"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003200/CBET003267.txt'>CBET 3267</a>"	"alias"	"2"
"aliases"	"SN2012fk,PSN J02305204+2228459"
"claimedtype"	"Ia"
"discoverday"	"19"
"discoverer"	"MASTER"
"discovermonth"	"10"
"discoveryear"	"2012"
"galdec"	"+222813"
"galra"	"023051"
"host"	"PGC 9572"
"hvel"	"10500"
"maxday"	"19"
"maxmonth"	"10"
"maxyear"	"2012"
"redshift"	"0.035"
"sndec"	"+22:28:45.9"
"snra"	"02:30:52.04"
"photometry"	"timeunit"	"MJD"	"time"	"56219.5"	"abmag"	"16.7"	"source"	"2,1"
