"name"	"SN2011hp"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002800/CBET002899.txt'>CBET 2899</a>"	"alias"	"2"
"aliases"	"SN2011hp,PSN J12162547-4319469"
"claimedtype"	"Ic"
"discoverday"	"2"
"discoverer"	"Berto Monard"
"discovermonth"	"11"
"discoveryear"	"2011"
"galdec"	"-431927"
"galra"	"121627"
"host"	"NGC 4219"
"hvel"	"1899"
"maxday"	"2"
"maxmonth"	"11"
"maxyear"	"2011"
"redshift"	"0.0066"
"sndec"	"-43:19:46.9"
"snra"	"12:16:25.46"
"photometry"	"timeunit"	"MJD"	"time"	"55867.5"	"abmag"	"15.7"	"source"	"2,1"
