"name"	"SN2014cb"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003900/CBET003939.txt'>CBET 3939</a>"	"alias"	"2"
"aliases"	"SN2014cb,PSN J14504990-1331037"
"claimedtype"	"Ia"
"discoverday"	"17"
"discoverer"	"Stu Parker"
"discovermonth"	"8"
"discoveryear"	"2014"
"galdec"	"-133130"
"galra"	"145048"
"host"	"MCG -2-38-18"
"hvel"	"10015"
"maxday"	"17"
"maxmonth"	"8"
"maxyear"	"2014"
"redshift"	"0.03"
"sndec"	"-13:31:03.7"
"snra"	"14:50:49.90"
"photometry"	"timeunit"	"MJD"	"time"	"56886.5"	"abmag"	"16.4"	"source"	"2,1"
