"name"	"SN2009cw"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/001700/CBET001754.txt'>CBET 1754</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009cw,PTF09bw"
"claimedtype"	"II"
"discoverday"	"27"
"discoverer"	"PTF"
"discovermonth"	"3"
"discoveryear"	"2009"
"galdec"	"+484003"
"galra"	"150501"
"host"	"A150501+4840"
"hvel"	"41600"
"maxday"	"27"
"maxmonth"	"3"
"maxyear"	"2009"
"redshift"	"0.15"
"sndec"	"+48:40:03.9"
"snra"	"15:05:01.97"
"photometry"	"timeunit"	"MJD"	"time"	"54917.5"	"abmag"	"20.3"	"source"	"2,1"
