"name"	"SN2010az"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/002200/CBET002225.txt'>CBET 2225</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010az,CSS100216:125700-173735"
"claimedtype"	"Ia"
"discoverday"	"15"
"discoverer"	"CRTS"
"discovermonth"	"2"
"discoveryear"	"2010"
"galdec"	"-173735"
"galra"	"125659"
"host"	"A125659-1737"
"hvel"	"13200"
"maxday"	"15"
"maxmonth"	"2"
"maxyear"	"2010"
"redshift"	"0.044"
"sndec"	"-17:37:35.5"
"snra"	"12:56:59.62"
"photometry"	"timeunit"	"MJD"	"time"	"55242.5"	"abmag"	"17.6"	"source"	"2,1"
