"name"	"SN2005ks"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ic"
"discoverday"	"4"
"discoverer"	"SDSS-II"
"discovermonth"	"11"
"discoveryear"	"2005"
"galdec"	"-000156"
"galra"	"213756"
"host"	"A213756-0001"
"hvel"	"28500"
"maxday"	"13"
"maxmonth"	"11"
"maxyear"	"2005"
"redshift"	"0.1"
"sndec"	"-000156.9"
"snra"	"213756.56"
"photometry"	"timeunit"	"MJD"	"time"	"53678.0"	"band"	"g"	"abmag"	"22.5"	"source"	"1"
