"name"	"SN2014dn"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003900/CBET003997.txt'>CBET 3997</a>"	"alias"	"2"
"aliases"	"SN2014dn,PSN J04175427-5636452"
"claimedtype"	"Ia-pec"
"discoverday"	"23"
"discoverer"	"Stu Parker"
"discovermonth"	"9"
"discoveryear"	"2014"
"galdec"	"-563659"
"galra"	"041753"
"host"	"IC 2060"
"hvel"	"6686"
"maxday"	"23"
"maxmonth"	"9"
"maxyear"	"2014"
"redshift"	"0.022189"
"sndec"	"-56:36:45.2"
"snra"	"04:17:54.00"
"photometry"	"timeunit"	"MJD"	"time"	"56923.5"	"abmag"	"17.1"	"source"	"2,1"
