"name"	"SN2006tb"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"19"
"discoverer"	"SDSS-II"
"discovermonth"	"11"
"discoveryear"	"2006"
"galdec"	"-000742"
"galra"	"034515"
"host"	"A034515-0007"
"hvel"	"76900"
"maxday"	"18"
"maxmonth"	"11"
"maxyear"	"2006"
"redshift"	"0.3"
"sndec"	"-000742.8"
"snra"	"034515.49"
"photometry"	"timeunit"	"MJD"	"time"	"54058.0"	"band"	"g"	"abmag"	"22.3"	"source"	"1"
