"name"	"Gaia15adb"
"source"	"name"	"<a href='https://gaia.ac.uk/selected-gaia-science-alerts'>Gaia Photometric Science Alerts</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"11"
"discovermonth"	"3"
"discoveryear"	"2015"
"maxday"	"11"
"maxmonth"	"3"
"maxyear"	"2015"
"sndec"	"62.97424"
"snra"	"257.44182"
"photometry"	"timeunit"	"MJD"	"time"	"57092.321"	"band"	"G"	"instrument"	"GAIA"	"abmag"	"17.31"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"57092.395"	"band"	"G"	"instrument"	"GAIA"	"abmag"	"17.22"	"source"	"1"
