"name"	"SN2008ck"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/001300/CBET001377.txt'>CBET 1377</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2008ck,CSS080427:152242+302208"
"claimedtype"	"Ia"
"discoverday"	"26"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2008"
"galdec"	"+302208"
"galra"	"152242"
"host"	"A152242+3022"
"hvel"	"19500"
"maxday"	"26"
"maxmonth"	"4"
"maxyear"	"2008"
"redshift"	"0.065"
"sndec"	"+30:22:08.01"
"snra"	"15:22:42.30"
"photometry"	"timeunit"	"MJD"	"time"	"54582.5"	"abmag"	"19.3"	"source"	"2,1"
