"name"	"SN2012hk"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003300/CBET003334.txt'>CBET 3334</a>"	"alias"	"2"
"aliases"	"SN2012hk,PSN J10411534+3733218"
"claimedtype"	"II"
"discoverday"	"19"
"discoverer"	"MASTER"
"discovermonth"	"11"
"discoveryear"	"2012"
"galdec"	"+373257"
"galra"	"104117"
"host"	"PGC 2103473"
"hvel"	"7191"
"maxday"	"19"
"maxmonth"	"11"
"maxyear"	"2012"
"redshift"	"0.023986"
"sndec"	"+37:33:21.8"
"snra"	"10:41:15.34"
"photometry"	"timeunit"	"MJD"	"time"	"56250.5"	"abmag"	"16.7"	"source"	"2,1"
