"name"	"SN2015I"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/004100/CBET004106.txt'>CBET 4106</a>"	"alias"	"2"
"aliases"	"SN2015I,PSN J07174570+2320406"
"claimedtype"	"Ia"
"discoverday"	"18"
"discoverer"	"T. Noguchi"
"discovermonth"	"5"
"discoveryear"	"2015"
"galdec"	"+232124"
"galra"	"071741"
"host"	"NGC 2357"
"hvel"	"2270"
"maxday"	"18"
"maxmonth"	"5"
"maxyear"	"2015"
"redshift"	"0.007589"
"sndec"	"+23:20:40.6"
"snra"	"07:17:45.70"
"photometry"	"timeunit"	"MJD"	"time"	"57160.5"	"abmag"	"14.0"	"source"	"2,1"
