"name"	"PSN J21593422-2639546"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J21593422-2639546.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J21593422-2639546,SSS111127:215934-263955"
"claimedtype"	"unk"
"discoverday"	"6"
"discoverer"	"CRTS"
"discovermonth"	"12"
"discoveryear"	"2011"
"host"	"ESO 532-G7"
"maxday"	"6"
"maxmonth"	"12"
"maxyear"	"2011"
"sndec"	"-26:39:54.5"
"snra"	"21:59:34.22"
"photometry"	"timeunit"	"MJD"	"time"	"55901.5"	"abmag"	"16.9"	"source"	"2,1"
