"name"	"SN2012aa"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003000/CBET003015.txt'>CBET 3015</a>"	"alias"	"2"
"aliases"	"SN2012aa,PSN J14523348-0331540"
"claimedtype"	"Ic"
"discoverday"	"28"
"discoverer"	"LOSS"
"discovermonth"	"1"
"discoveryear"	"2012"
"galdec"	"-033154"
"galra"	"145233"
"host"	"A145233-0331"
"hvel"	"23900"
"maxday"	"28"
"maxmonth"	"1"
"maxyear"	"2012"
"redshift"	"0.0797"
"sndec"	"-03:31:54.0"
"snra"	"14:52:33.48"
"photometry"	"timeunit"	"MJD"	"time"	"55954.5"	"abmag"	"17.7"	"source"	"2,1"
