"name"	"SN2011iy"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002943.txt'>CBET 2943</a>"	"alias"	"2"
"aliases"	"SN2011iy,PSN J13085839-1531041"
"claimedtype"	"Ia"
"discoverday"	"9"
"discoverer"	"Koichi Itagaki"
"discovermonth"	"12"
"discoveryear"	"2011"
"galdec"	"-153058"
"galra"	"130857"
"host"	"NGC 4984"
"hvel"	"1243"
"maxday"	"9"
"maxmonth"	"12"
"maxyear"	"2011"
"redshift"	"0.0043"
"sndec"	"-15:31:04.0"
"snra"	"13:08:58.38"
"photometry"	"timeunit"	"MJD"	"time"	"55904.5"	"abmag"	"12.2"	"source"	"2,1"
