"name"	"SN2011bo"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002697.txt'>CBET 2697</a>"	"alias"	"2"
"aliases"	"SN2011bo,PSN J18593846-4145558"
"claimedtype"	"Ic"
"discoverday"	"20"
"discoverer"	"CHASE"
"discovermonth"	"3"
"discoveryear"	"2011"
"galdec"	"-414546"
"galra"	"185939"
"host"	"ESO 337-G6"
"hvel"	"5759"
"maxday"	"20"
"maxmonth"	"3"
"maxyear"	"2011"
"redshift"	"0.0192"
"sndec"	"-41:45:55.7"
"snra"	"18:59:38.45"
"photometry"	"timeunit"	"MJD"	"time"	"55640.5"	"abmag"	"17.6"	"source"	"2,1"
