"name"	"SN2012ec"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003200/CBET003201.txt'>CBET 3201</a>"	"alias"	"2"
"aliases"	"SN2012ec,PSN J02455988-0734270"
"claimedtype"	"IIP"
"discoverday"	"28"
"discoverer"	"Berto Monard"
"discovermonth"	"8"
"discoveryear"	"2012"
"galdec"	"-073442"
"galra"	"024600"
"host"	"NGC 1084"
"hvel"	"1414"
"maxday"	"28"
"maxmonth"	"8"
"maxyear"	"2012"
"redshift"	"0.004693"
"sndec"	"-07:34:25.0"
"snra"	"02:45:59.89"
"photometry"	"timeunit"	"MJD"	"time"	"56167.5"	"abmag"	"13.8"	"source"	"2,1"
