"name"	"SN2010ar"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/002200/CBET002214.txt'>CBET 2214</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010ar,PS1-1000022"
"claimedtype"	"Ia"
"discoverday"	"14"
"discoverer"	"PS1"
"discovermonth"	"2"
"discoveryear"	"2010"
"galdec"	"+010146"
"galra"	"100326"
"host"	"A100326+0101"
"hvel"	"27000"
"maxday"	"14"
"maxmonth"	"2"
"maxyear"	"2010"
"redshift"	"0.09"
"sndec"	"+01:01:46.20"
"snra"	"10:03:26.060"
"photometry"	"timeunit"	"MJD"	"time"	"55241.5"	"abmag"	"19.2"	"source"	"2,1"
