"name"	"MASTER OT J095757.42+084120.3"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=6746'>ATEL 6746</a>"	"alias"	"2"
"aliases"	"MASTER OT J095757.42+084120.3,CSS141126:095757+084121"
"claimedtype"	"unk"
"discoverday"	"25"
"discoverer"	"MASTER"
"discovermonth"	"11"
"discoveryear"	"2014"
"maxday"	"25"
"maxmonth"	"11"
"maxyear"	"2014"
"sndec"	"+08:41:20.3"
"snra"	"09:57:57.42"
"photometry"	"timeunit"	"MJD"	"time"	"56986.5"	"abmag"	"18.1"	"source"	"2,1"
