"name"	"SN1994ae"
"source"	"name"	"<a href='https://www.cfa.harvard.edu/supernova/SNarchive.html'>CfA Supernova Archive</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/1999AJ....117..707R'>1999AJ....117..707R</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2005ApJ...627..579R'>2005ApJ...627..579R</a>"	"alias"	"3"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"4"	"secondary"	"1"
"source"	"name"	"M.Villi, Cortini, Kushida, et al. IAU Circ. 6109,6111,6115"	"alias"	"5"
"source"	"name"	"A.G.Riess et al., 1999, AJ, 117, 707; astro-ph/9810291"	"alias"	"6"
"source"	"name"	"F.Patat, Van Dyk, et al. IAU Circ. 6109,6111,6115"	"alias"	"7"
"source"	"name"	"W.C.C.Ho et al., 2001, PASP, 113, 1349; astro-ph/0108299"	"alias"	"8"
"source"	"name"	"D.Yu.Tsvetkov, N.N.Pavlyuk, PAZh, 23, p.30-33, 1997"	"alias"	"9"
"source"	"name"	"G.Altavilla et al., MNRAS, 349, 1344, 2004; astro-ph/0401273"	"alias"	"10"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"11"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iauc/06100/06105.html'>IAUC 6105</a>"	"alias"	"12"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"13"
"aliases"	"SN1994ae"
"claimedtype"	"Ia"
"discoverday"	"13"
"discoverer"	"Van Dyk, Treffers, Filippenko, Paik"
"discovermonth"	"11"
"discoveryear"	"1994"
"galdec"	"+171626"
"galra"	"104704"
"host"	"NGC 3370"
"hvel"	"1282"
"maxday"	"13"
"maxmonth"	"11"
"maxyear"	"1994"
"redshift"	"0.00429"
"sndec"	"+17:16:31.0"
"snra"	"10:47:01.95"
"photometry"	"timeunit"	"MJD"	"time"	"49669.5"	"abmag"	"15.4"	"source"	"12,11"
"photometry"	"timeunit"	"MJD"	"time"	"49670.0"	"band"	"R"	"abmag"	"15.4"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"49672.47"	"band"	"B"	"abmag"	"15.00"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49672.47"	"band"	"V"	"abmag"	"14.89"	"aberr"	"0.03"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49672.47"	"band"	"R"	"abmag"	"14.60"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49672.47"	"band"	"I"	"abmag"	"14.67"	"aberr"	"0.04"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49672.47"	"band"	"B"	"abmag"	"14.865"	"aberr"	"0.041"	"source"	"1,3"
"photometry"	"timeunit"	"MJD"	"time"	"49672.47"	"band"	"V"	"abmag"	"14.833"	"aberr"	"0.027"	"source"	"1,3"
"photometry"	"timeunit"	"MJD"	"time"	"49672.47"	"band"	"R"	"abmag"	"14.711"	"aberr"	"0.022"	"source"	"1,3"
"photometry"	"timeunit"	"MJD"	"time"	"49672.47"	"band"	"I"	"abmag"	"14.599"	"aberr"	"0.028"	"source"	"1,3"
"photometry"	"timeunit"	"MJD"	"time"	"49674.46"	"band"	"B"	"abmag"	"14.27"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49674.46"	"band"	"V"	"abmag"	"14.16"	"aberr"	"0.03"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49674.46"	"band"	"R"	"abmag"	"13.94"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49674.46"	"band"	"I"	"abmag"	"14.03"	"aberr"	"0.04"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49674.46"	"band"	"B"	"abmag"	"14.109"	"aberr"	"0.044"	"source"	"1,3"
"photometry"	"timeunit"	"MJD"	"time"	"49674.46"	"band"	"V"	"abmag"	"14.133"	"aberr"	"0.040"	"source"	"1,3"
"photometry"	"timeunit"	"MJD"	"time"	"49674.46"	"band"	"R"	"abmag"	"14.007"	"aberr"	"0.026"	"source"	"1,3"
