"name"	"SN2015bh"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/004200/CBET004229.txt'>CBET 4229</a>"	"alias"	"2"
"aliases"	"SN2015bh,PSN J09093496+3307204"
"claimedtype"	"IIn/LBV"
"discoverday"	"20"
"discoverer"	"CRTS"
"discovermonth"	"5"
"discoveryear"	"2015"
"host"	"NGC 2770"
"maxday"	"20"
"maxmonth"	"5"
"maxyear"	"2015"
"redshift"	"0.0064"
"sndec"	"+33:07:20.4"
"snra"	"09:09:34.96"
"photometry"	"timeunit"	"MJD"	"time"	"57162.5"	"abmag"	"15.4"	"source"	"2,1"
