"name"	"SN2006kt"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"12"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2006"
"galdec"	"-010326"
"galra"	"213550"
"host"	"A213550-0103"
"hvel"	"63500"
"maxday"	"21"
"maxmonth"	"10"
"maxyear"	"2006"
"redshift"	"0.24"
"sndec"	"-010326.8"
"snra"	"213550.32"
"photometry"	"timeunit"	"MJD"	"time"	"54020.0"	"band"	"g"	"abmag"	"21.5"	"source"	"1"
