"name"	"SN2008gv"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/001500/CBET001559.txt'>CBET 1559</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2008gv,CSS081031:015232+332752"
"discoverday"	"30"
"discoverer"	"CRTS"
"discovermonth"	"10"
"discoveryear"	"2008"
"galdec"	"+332752"
"galra"	"015231"
"host"	"A015231+3327"
"maxday"	"30"
"maxmonth"	"10"
"maxyear"	"2008"
"sndec"	"+33:27:52.01"
"snra"	"01:52:31.71"
"photometry"	"timeunit"	"MJD"	"time"	"54769.5"	"abmag"	"19.6"	"source"	"2,1"
