"name"	"iPTF15lp"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=7178'>ATEL 7178</a>"	"alias"	"2"
"aliases"	"iPTF15lp,Gaia15adp"
"claimedtype"	"Ia"
"discoverday"	"13"
"discoverer"	"PTF"
"discovermonth"	"3"
"discoveryear"	"2015"
"host"	"MCG +9-18-99"
"maxday"	"13"
"maxmonth"	"3"
"maxyear"	"2015"
"redshift"	"0.04"
"sndec"	"+53:59:06.4"
"snra"	"11:11:40.55"
"photometry"	"timeunit"	"MJD"	"time"	"57094.5"	"abmag"	"18.6"	"source"	"2,1"
