"name"	"SN2013ci"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003500/CBET003515.txt'>CBET 3515</a>"	"alias"	"2"
"aliases"	"SN2013ci,PSN J17045368+0907596"
"claimedtype"	"Ia"
"discoverday"	"3"
"discoverer"	"LSSS-SSP"
"discovermonth"	"5"
"discoveryear"	"2013"
"galdec"	"+090759"
"galra"	"170453"
"host"	"PGC 1360168"
"hvel"	"10800"
"maxday"	"3"
"maxmonth"	"5"
"maxyear"	"2013"
"redshift"	"0.036"
"sndec"	"+09:07:59.6"
"snra"	"17:04:53.68"
"photometry"	"timeunit"	"MJD"	"time"	"56415.5"	"abmag"	"17.1"	"source"	"2,1"
