"name"	"SN2011ec"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002765.txt'>CBET 2765</a>"	"alias"	"2"
"aliases"	"SN2011ec,PSN J22413750-5736080"
"claimedtype"	"Ia"
"discoverday"	"13"
"discoverer"	"Berto Monard"
"discovermonth"	"5"
"discoveryear"	"2011"
"galdec"	"-573618"
"galra"	"224137"
"host"	"PGC 69507"
"hvel"	"10892"
"maxday"	"13"
"maxmonth"	"5"
"maxyear"	"2011"
"redshift"	"0.0362"
"sndec"	"-57:36:08.0"
"snra"	"22:41:37.50"
"photometry"	"timeunit"	"MJD"	"time"	"55694.5"	"abmag"	"17.0"	"source"	"2,1"
