"name"	"SN2012ce"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003100/CBET003108.txt'>CBET 3108</a>"	"alias"	"2"
"aliases"	"SN2012ce,PSN J11134946-2955320"
"claimedtype"	"Ia"
"discoverday"	"13"
"discoverer"	"CRTS"
"discovermonth"	"5"
"discoveryear"	"2012"
"galdec"	"-295532"
"galra"	"111349"
"host"	"A111349-2955"
"maxday"	"13"
"maxmonth"	"5"
"maxyear"	"2012"
"sndec"	"-29:55:32.0"
"snra"	"11:13:49.46"
"photometry"	"timeunit"	"MJD"	"time"	"56060.5"	"abmag"	"16.6"	"source"	"2,1"
