"name"	"PSN J03422460-0435296"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/tocp.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J03422460-0435296,CSS110129:034225-043530"
"claimedtype"	"unk"
"discoverday"	"28"
"discoverer"	"CRTS"
"discovermonth"	"1"
"discoveryear"	"2011"
"maxday"	"28"
"maxmonth"	"1"
"maxyear"	"2011"
"sndec"	"-04:35:29.6"
"snra"	"03:42:24.60"
"photometry"	"timeunit"	"MJD"	"time"	"55589.5"	"abmag"	"18.5"	"source"	"2,1"
