"name"	"SN2006lo"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"12"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2006"
"galdec"	"+003520"
"galra"	"213419"
"host"	"A213419+0035"
"hvel"	"49200"
"maxday"	"27"
"maxmonth"	"10"
"maxyear"	"2006"
"redshift"	"0.18"
"sndec"	"+003520.8"
"snra"	"213419.18"
"photometry"	"timeunit"	"MJD"	"time"	"54020.0"	"band"	"g"	"abmag"	"22.9"	"source"	"1"
