"name"	"SN2011hm"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J02021338-0605016.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"SN2011hm,PSN J02021338-0605016"
"claimedtype"	"II"
"discoverday"	"29"
"discoverer"	"CRTS"
"discovermonth"	"10"
"discoveryear"	"2011"
"galdec"	"-060444"
"galra"	"020213"
"host"	"MCG -1-6-31"
"hvel"	"4998"
"maxday"	"29"
"maxmonth"	"10"
"maxyear"	"2011"
"redshift"	"0.0162"
"sndec"	"-06:05:01.6"
"snra"	"02:02:13.38"
"photometry"	"timeunit"	"MJD"	"time"	"55863.5"	"abmag"	"17.2"	"source"	"2,1"
