"name"	"SN2008dk"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/001400/CBET001410.txt'>CBET 1410</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2008dk,SNF20080510-001"
"claimedtype"	"Ia"
"discoverday"	"9"
"discoverer"	"Canada-France-Hawaii Telescope"
"discovermonth"	"5"
"discoveryear"	"2008"
"galdec"	"+185114"
"galra"	"145613"
"host"	"A145613+1851"
"hvel"	"21000"
"maxday"	"9"
"maxmonth"	"5"
"maxyear"	"2008"
"redshift"	"0.07"
"sndec"	"+18:51:14.1"
"snra"	"14:56:13.33"
"photometry"	"timeunit"	"MJD"	"time"	"54595.5"	"abmag"	"18.9"	"source"	"2,1"
