"name"	"SN2006qi"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"20"
"discoverer"	"SDSS-II"
"discovermonth"	"11"
"discoveryear"	"2006"
"galdec"	"+005305"
"galra"	"015019"
"host"	"A015019+0053"
"hvel"	"51600"
"maxday"	"23"
"maxmonth"	"11"
"maxyear"	"2006"
"redshift"	"0.19"
"sndec"	"+005305.6"
"snra"	"015019.56"
"photometry"	"timeunit"	"MJD"	"time"	"54059.0"	"band"	"g"	"abmag"	"22.2"	"source"	"1"
