"name"	"SN1994B"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"W.C.C.Ho et al., 2001, PASP, 113, 1349; astro-ph/0108299"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"Ia"
"discoverday"	"5"
"discoverer"	"Pollas"
"discovermonth"	"2"
"discoveryear"	"1994"
"galdec"	"+154348"
"galra"	"082040"
"host"	"A082040+1543"
"hvel"	"26700"
"maxday"	"5"
"maxmonth"	"2"
"maxyear"	"1994"
"redshift"	"0.0934"
"sndec"	"+154348.24"
"snra"	"082040.90"
"photometry"	"timeunit"	"MJD"	"time"	"49388.37"	"band"	"I"	"abmag"	"19.25"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49388.37"	"band"	"V"	"abmag"	"19.23"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49426.23"	"band"	"I"	"abmag"	"19.46"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49426.23"	"band"	"R"	"abmag"	"19.28"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49426.23"	"band"	"V"	"abmag"	"20.38"	"source"	"1,2"
