"name"	"PSN J22522345-2036537"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J22522345-2036537.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J22522345-2036537,LSQ12fhs"
"claimedtype"	"Ia"
"discoverday"	"10"
"discoverer"	"La Silla-QUEST"
"discovermonth"	"10"
"discoveryear"	"2012"
"maxday"	"10"
"maxmonth"	"10"
"maxyear"	"2012"
"redshift"	"0.03315"
"sndec"	"-20:36:53.7"
"snra"	"22:52:23.45"
"photometry"	"timeunit"	"MJD"	"time"	"56210.5"	"abmag"	"18.4"	"source"	"2,1"
