"name"	"SN2013fc"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003600/CBET003644.txt'>CBET 3644</a>"	"alias"	"2"
"aliases"	"SN2013fc,PSN J02450896-5544273"
"claimedtype"	"IIn"
"discoverday"	"19"
"discoverer"	"CHASE"
"discovermonth"	"8"
"discoveryear"	"2013"
"galdec"	"-554427"
"galra"	"024509"
"host"	"ESO 154-G10"
"hvel"	"5507"
"maxday"	"19"
"maxmonth"	"8"
"maxyear"	"2013"
"redshift"	"0.018633"
"sndec"	"-55:44:27.3"
"snra"	"02:45:08.96"
"photometry"	"timeunit"	"MJD"	"time"	"56523.5"	"abmag"	"15.4"	"source"	"2,1"
