"name"	"SN2013gl"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003700/CBET003725.txt'>CBET 3725</a>"	"alias"	"2"
"aliases"	"SN2013gl,PSN J11310048+2028103"
"claimedtype"	"Ib"
"discoverday"	"12"
"discoverer"	"LOSS"
"discovermonth"	"5"
"discoveryear"	"2013"
"galdec"	"+202809"
"galra"	"113101"
"host"	"IC 701"
"hvel"	"6182"
"maxday"	"12"
"maxmonth"	"5"
"maxyear"	"2013"
"redshift"	"0.0205"
"sndec"	"+20:28:10.3"
"snra"	"11:31:00.48"
"photometry"	"timeunit"	"MJD"	"time"	"56424.5"	"abmag"	"15.1"	"source"	"2,1"
