"name"	"PSN J20150317-1959462"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J20150317-1959462.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J20150317-1959462,SNhunt291"
"claimedtype"	"IIP"
"discoverday"	"8"
"discoverer"	"CRTS"
"discovermonth"	"8"
"discoveryear"	"2015"
"host"	"ESO 596-G10"
"maxday"	"8"
"maxmonth"	"8"
"maxyear"	"2015"
"redshift"	"0.0163"
"sndec"	"-19:59:46.2"
"snra"	"20:15:03.17"
"photometry"	"timeunit"	"MJD"	"time"	"57242.5"	"abmag"	"17.1"	"source"	"2,1"
