"name"	"SN2013cg"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003500/CBET003517.txt'>CBET 3517</a>"	"alias"	"2"
"aliases"	"SN2013cg,PSN J09265677-2446596"
"claimedtype"	"Ia"
"discoverday"	"5"
"discoverer"	"CHASE"
"discovermonth"	"5"
"discoveryear"	"2013"
"galdec"	"-244659"
"galra"	"092657"
"host"	"NGC 2891"
"hvel"	"2358"
"maxday"	"5"
"maxmonth"	"5"
"maxyear"	"2013"
"redshift"	"0.007952"
"sndec"	"-24:46:59.6"
"snra"	"09:26:56.77"
"photometry"	"timeunit"	"MJD"	"time"	"56417.5"	"abmag"	"13.3"	"source"	"2,1"
