"name"	"SN2011ao"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002669.txt'>CBET 2669</a>"	"alias"	"2"
"aliases"	"SN2011ao,PSN J11535103+3321463"
"claimedtype"	"Ia"
"discoverday"	"2"
"discoverer"	"Tim Puckett et al."
"discovermonth"	"3"
"discoveryear"	"2011"
"galdec"	"+332155"
"galra"	"115351"
"host"	"IC 2973"
"hvel"	"3206"
"maxday"	"2"
"maxmonth"	"3"
"maxyear"	"2011"
"redshift"	"0.0107"
"sndec"	"+33:21:46.2"
"snra"	"11:53:51.02"
"photometry"	"timeunit"	"MJD"	"time"	"55622.5"	"abmag"	"13.9"	"source"	"2,1"
