"name"	"SN2000fm"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"claimedtype"	"II?"
"discoverday"	"14"
"discoverer"	"LOTOSS"
"discovermonth"	"12"
"discoveryear"	"2000"
"galdec"	"-041023"
"galra"	"043313"
"host"	"NGC 1612"
"maxday"	"23"
"maxmonth"	"12"
"maxyear"	"2000"
"sndec"	"-041039.5"
"snra"	"043315.00"
"photometry"	"timeunit"	"MJD"	"time"	"51892.3"	"band"	"C"	"abmag"	"17.7"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51893.2"	"band"	"C"	"abmag"	"17"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51899.91"	"band"	"C"	"abmag"	"16.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51901.98"	"band"	"C"	"abmag"	"16.5"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51908.93"	"band"	"R"	"abmag"	"16.5"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51925.07"	"band"	"C"	"abmag"	"17.6"	"source"	"1,2"
