"name"	"SN2011hz"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002909.txt'>CBET 2909</a>"	"alias"	"2"
"aliases"	"SN2011hz,PSN J08523424+5515142"
"claimedtype"	"II"
"discoverday"	"7"
"discoverer"	"Denis Denisenko"
"discovermonth"	"11"
"discoveryear"	"2011"
"galdec"	"+551514"
"galra"	"085234"
"host"	"A085234+5515"
"maxday"	"7"
"maxmonth"	"11"
"maxyear"	"2011"
"sndec"	"+55:15:14.1"
"snra"	"08:52:34.24"
"photometry"	"timeunit"	"MJD"	"time"	"55872.5"	"abmag"	"17.9"	"source"	"2,1"
