"name"	"PS15mb"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=7212'>ATEL 7212</a>"	"alias"	"2"
"aliases"	"PS15mb,ASASSN-15ez"
"claimedtype"	"Ia"
"discoverday"	"18"
"discoverer"	"PS1"
"discovermonth"	"3"
"discoveryear"	"2015"
"maxday"	"18"
"maxmonth"	"3"
"maxyear"	"2015"
"redshift"	"0.0287"
"sndec"	"+15:11:12.5"
"snra"	"08:59:40.20"
"photometry"	"timeunit"	"MJD"	"time"	"57099.5"	"abmag"	"15.8"	"source"	"2,1"
