"name"	"PS15blq"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=8110'>ATEL 8110</a>"	"alias"	"2"
"aliases"	"PS15blq,MASTER OT J173142.37+435334.1"
"claimedtype"	"IIn"
"discoverday"	"28"
"discoverer"	"PS1"
"discovermonth"	"9"
"discoveryear"	"2015"
"maxday"	"28"
"maxmonth"	"9"
"maxyear"	"2015"
"redshift"	"0.125"
"sndec"	"+43:53:34.1"
"snra"	"17:31:42.37"
"photometry"	"timeunit"	"MJD"	"time"	"57293.5"	"abmag"	"17.3"	"source"	"2,1"
