"name"	"SN2010bb"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/002200/CBET002226.txt'>CBET 2226</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010bb,PS1-1000018"
"claimedtype"	"Ia"
"discoverday"	"15"
"discoverer"	"CRTS"
"discovermonth"	"1"
"discoveryear"	"2010"
"galdec"	"+574840"
"galra"	"104438"
"host"	"A104438+5748"
"hvel"	"33300"
"maxday"	"15"
"maxmonth"	"1"
"maxyear"	"2010"
"redshift"	"0.118"
"sndec"	"+57:48:40.08"
"snra"	"10:44:38.217"
"photometry"	"timeunit"	"MJD"	"time"	"55211.5"	"abmag"	"20.4"	"source"	"2,1"
