"name"	"MASTER OT J133253.32+355733.3"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=4805'>ATEL 4805</a>"	"alias"	"2"
"aliases"	"MASTER OT J133253.32+355733.3"
"claimedtype"	"Ia"
"discoverday"	"10"
"discoverer"	"MASTER"
"discovermonth"	"2"
"discoveryear"	"2013"
"maxday"	"10"
"maxmonth"	"2"
"maxyear"	"2013"
"redshift"	"0.06"
"sndec"	"+35:57:33.3"
"snra"	"13:32:53.32"
"photometry"	"timeunit"	"MJD"	"time"	"56333.5"	"abmag"	"16.7"	"source"	"2,1"
