"name"	"PSN J06040140+4825089"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=4509'>ATEL 4509</a>"	"alias"	"2"
"aliases"	"PSN J06040140+4825089,MASTER OT J060401.40+482508.9"
"claimedtype"	"unk"
"discoverday"	"18"
"discoverer"	"MASTER"
"discovermonth"	"10"
"discoveryear"	"2012"
"maxday"	"18"
"maxmonth"	"10"
"maxyear"	"2012"
"sndec"	"+48:25:08.9"
"snra"	"06:04:01.40"
"photometry"	"timeunit"	"MJD"	"time"	"56218.5"	"abmag"	"17.4"	"source"	"2,1"
