"name"	"SN2013eb"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003500/CBET003594.txt'>CBET 3594</a>"	"alias"	"2"
"aliases"	"SN2013eb,PSN J15111485+4609115"
"claimedtype"	"Ia"
"discoverday"	"18"
"discoverer"	"Italian Supernovae Search Project"
"discovermonth"	"7"
"discoveryear"	"2013"
"galdec"	"+460903"
"galra"	"151113"
"host"	"UGC 9761"
"hvel"	"5630"
"maxday"	"18"
"maxmonth"	"7"
"maxyear"	"2013"
"redshift"	"0.018606"
"sndec"	"+46:09:11.5"
"snra"	"15:11:14.85"
"photometry"	"timeunit"	"MJD"	"time"	"56491.5"	"abmag"	"17.7"	"source"	"2,1"
