"name"	"SN2012ax"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003000/CBET003055.txt'>CBET 3055</a>"	"alias"	"2"
"aliases"	"SN2012ax,CSS120218:111158+294206"
"claimedtype"	"Ia"
"discoverday"	"2"
"discoverer"	"CRTS"
"discovermonth"	"3"
"discoveryear"	"2012"
"galdec"	"+294205"
"galra"	"111158"
"host"	"A111158+2942"
"maxday"	"2"
"maxmonth"	"3"
"maxyear"	"2012"
"redshift"	"0.11"
"sndec"	"+29:42:05.5"
"snra"	"11:11:58.35"
"photometry"	"timeunit"	"MJD"	"time"	"55988.5"	"abmag"	"18.0"	"source"	"2,1"
