"name"	"PSN J10100472-1146352"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J10100472-1146352.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J10100472-1146352,LSQ13acf"
"claimedtype"	"Ia"
"discoverday"	"26"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2013"
"host"	"NGC 3139"
"maxday"	"26"
"maxmonth"	"4"
"maxyear"	"2013"
"redshift"	"0.03"
"sndec"	"-11:46:35.2"
"snra"	"10:10:04.72"
"photometry"	"timeunit"	"MJD"	"time"	"56408.5"	"abmag"	"17.0"	"source"	"2,1"
