"name"	"K0812-4"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/001600/CBET001682.txt'>CBET 1682</a>"	"alias"	"2"
"aliases"	"K0812-4,CSS081220:021652+135500"
"claimedtype"	"unk"
"discoverday"	"19"
"discoverer"	"CRTS"
"discovermonth"	"12"
"discoveryear"	"2008"
"maxday"	"19"
"maxmonth"	"12"
"maxyear"	"2008"
"sndec"	"+13:55:00.7"
"snra"	"02:16:52.47"
"photometry"	"timeunit"	"MJD"	"time"	"54819.5"	"abmag"	"17.8"	"source"	"2,1"
