"name"	"SN2015Q"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/004100/CBET004128.txt'>CBET 4128</a>"	"alias"	"2"
"aliases"	"SN2015Q,PSN J11473508+5558147"
"claimedtype"	"Ib"
"discoverday"	"19"
"discoverer"	"Patrick Wiggins"
"discovermonth"	"6"
"discoveryear"	"2015"
"galdec"	"+555802"
"galra"	"114734"
"host"	"NGC 3888"
"hvel"	"2386"
"maxday"	"19"
"maxmonth"	"6"
"maxyear"	"2015"
"redshift"	"0.008"
"sndec"	"+55:58:14.7"
"snra"	"11:47:35.08"
"photometry"	"timeunit"	"MJD"	"time"	"57192.5"	"abmag"	"16.1"	"source"	"2,1"
