"name"	"SN2011eq"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002787.txt'>CBET 2787</a>"	"alias"	"2"
"aliases"	"SN2011eq,CSS110429:211759-023723"
"claimedtype"	"Ia"
"discoverday"	"28"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2011"
"galdec"	"-023722"
"galra"	"211759"
"host"	"A211759-0237"
"hvel"	"51600"
"maxday"	"28"
"maxmonth"	"4"
"maxyear"	"2011"
"redshift"	"0.19"
"sndec"	"-02:37:22.8"
"snra"	"21:17:59.27"
"photometry"	"timeunit"	"MJD"	"time"	"55679.5"	"abmag"	"19.0"	"source"	"2,1"
