"name"	"SN2001et"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"claimedtype"	"II"
"discoverday"	"23"
"discoverer"	"LOTOSS"
"discovermonth"	"9"
"discoveryear"	"2001"
"galdec"	"-180926"
"galra"	"201934"
"host"	"M-03-51-09"
"maxday"	"13"
"maxmonth"	"10"
"maxyear"	"2001"
"sndec"	"-180949.3"
"snra"	"201935.00"
"photometry"	"timeunit"	"MJD"	"time"	"52175.2"	"band"	"C"	"abmag"	"18.5"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52183.2"	"band"	"C"	"abmag"	"17.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52191.2"	"band"	"C"	"abmag"	"17.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52192.2"	"band"	"C"	"abmag"	"17.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52195.83"	"band"	"R"	"abmag"	"17.5"	"source"	"1,2"
