"name"	"SN2009nu"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/002100/CBET002131.txt'>CBET 2131</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009nu,CSS091215:022038+022415"
"claimedtype"	"II"
"discoverday"	"14"
"discoverer"	"CRTS"
"discovermonth"	"12"
"discoveryear"	"2009"
"galdec"	"+022414"
"galra"	"022037"
"host"	"A022037+0224"
"hvel"	"12000"
"maxday"	"14"
"maxmonth"	"12"
"maxyear"	"2009"
"redshift"	"0.041"
"sndec"	"+02:24:14.7"
"snra"	"02:20:37.69"
"photometry"	"timeunit"	"MJD"	"time"	"55179.5"	"abmag"	"18.7"	"source"	"2,1"
