"name"	"SN2011ft"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002800/CBET002826.txt'>CBET 2826</a>"	"alias"	"2"
"aliases"	"SN2011ft,MASTER UGC 11021"
"claimedtype"	"Ib"
"discoverday"	"25"
"discoverer"	"MASTER"
"discovermonth"	"9"
"discoveryear"	"2011"
"galdec"	"+290332"
"galra"	"175239"
"host"	"UGC 11021"
"hvel"	"5186"
"maxday"	"25"
"maxmonth"	"9"
"maxyear"	"2011"
"redshift"	"0.0173"
"sndec"	"+29:04:10.6"
"snra"	"17:52:42.98"
"photometry"	"timeunit"	"MJD"	"time"	"55829.5"	"abmag"	"17.1"	"source"	"2,1"
